"","participant","Control_1","Control_2","AffEmp 1","AffEmp 2","AffEmp 3","AffEmp 4","CognEmp 1","CognEmp 2","CognEmp 3","CognEmp 4","AssEmp 1","AssEmp 2","AssEmp 3","AssEmp 4"
"1","participant 1","blood pudding","in Catalonia",2,2,2,2,3,3,1,-3,3,1,1,1
"2","participant 2","blood pudding","in Catalonia",0,0,0,1,1,1,1,0,2,0,0,0
"3","participant 3","blood pudding","in Catalonia",2,2,2,3,-1,-1,2,2,3,2,-1,0
"4","participant 4","blood pudding","in Catalonia",-2,-2,-3,1,2,2,2,0,3,-1,2,0
"5","participant 5","blood pudding","in Catalonia",2,2,2,2,1,1,2,-1,2,-2,-3,-3
"6","participant 6","blood pudding","in France",-3,-2,-3,2,-3,-2,-2,0,3,0,-3,-3
"7","participant 7","blood pudding","in Catalonia",3,1,2,2,-1,1,1,-1,2,-1,2,2
"8","participant 8","blood pudding","in Catalonia",2,0,0,-1,-2,0,-1,1,0,-1,-3,-2
"9","participant 9","blood pudding","in Catalonia",0,-3,-3,0,-3,-3,-3,-3,0,-3,-3,-3
"10","participant 10","blood pudding","in Catalonia",-2,-3,-3,-3,-3,-2,-1,-3,2,-3,-3,-3
"11","participant 11","blood pudding","in Catalonia",3,2,1,1,3,2,3,1,3,-1,-2,0
"12","participant 12","blood pudding","in Catalonia",3,3,-2,0,2,0,0,-1,3,3,0,3
"13","participant 13","blood pudding","in Catalonia",0,-3,-3,0,-3,-3,-3,-3,-1,-3,-3,-3
"14","participant 14","blood pudding","in Catalonia",1,1,2,2,2,1,1,1,3,-2,-3,-2
"15","participant 15","blood pudding","in Catalonia",3,1,2,3,-1,-2,-2,-2,3,2,-1,-3
"16","participant 16","blood pudding","in Catalonia",2,-2,-2,2,1,2,3,-1,3,-2,-2,-3
"17","participant 17","blood pudding","in Catalonia",3,0,-3,2,2,1,1,0,3,-1,-1,-1
"18","participant 18","blood pudding","in Catalonia",1,-3,-1,-1,2,1,1,1,3,-1,-1,-1
"19","participant 19","blood pudding","in Catalonia",2,2,2,2,2,2,2,3,3,2,2,2
"20","participant 20","blood pudding","in Catalonia",2,1,1,2,0,-3,1,1,3,-3,-3,-3
"21","participant 21","blood pudding","in Catalonia",3,1,2,2,2,3,2,2,2,2,2,2
"22","participant 22","blood pudding","in Catalonia",-3,0,2,1,-1,-1,-1,-1,2,-2,-1,-2
"23","participant 23","blood pudding","in Catalonia",-1,-2,-2,1,2,-3,2,1,3,0,0,0
"24","participant 24","blood pudding","in Catalonia",1,-1,-3,1,2,-2,-1,1,2,2,-1,-2
